"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","guanyl-nucleotide exchange factor activity","GO:0005085","0.0032414736604317864","2.4892575030370474","204","438","17","18694","chr12:95168483:95169372,chr4:159204323:159204942,chr9:123406482:123408264,chr12:106878380:106879480,chr3:12963863:12964442,ENSG00000104728,ENSG00000169313,chr13:98284701:98286533,chr7:37031633:37032849,chr14:91380223:91381206,ENSG00000115839,chr10:127332844:127333812,chr3:15309373:15310995,chr9:127159115:127160516,chr3:56880574:56881446,chr21:31395216:31396418,chr4:105555054:105555836"
"GO:MF","GTPase regulator activity","GO:0030695","0.011362352836147437","1.944531728664409","476","438","27","18694","chr12:95168483:95169372,chr6:69289698:69290668,chr4:159204323:159204942,chr9:123406482:123408264,ENSG00000213654,chr12:106878380:106879480,chr3:12963863:12964442,ENSG00000104728,ENSG00000169313,chr13:98284701:98286533,chr7:37031633:37032849,chr14:91380223:91381206,ENSG00000115839,chr10:127332844:127333812,chr8:130272707:130273089,chr3:15309373:15310995,chr6:33425558:33426771,chr10:33229303:33230277,chr9:127159115:127160516,ENSG00000131374,chr20:8303494:8304822,ENSG00000145715,chr16:4435412:4436413,chr3:56880574:56881446,chr20:20411474:20412183,chr21:31395216:31396418,chr4:105555054:105555836"
"GO:MF","transmembrane receptor protein phosphatase activity","GO:0019198","0.016425433666934122","1.7844831553042444","17","438","5","18694","chr20:42794910:42795831,chr18:8119215:8119825,chr7:157850929:157851302,chr6:128445751:128446917,chr3:61900169:61900678"
"GO:MF","transmembrane receptor protein tyrosine phosphatase activity","GO:0005001","0.016425433666934122","1.7844831553042444","17","438","5","18694","chr20:42794910:42795831,chr18:8119215:8119825,chr7:157850929:157851302,chr6:128445751:128446917,chr3:61900169:61900678"
"GO:MF","metal ion binding","GO:0046872","0.03840660656193923","1.4155940634812607","4255","438","134","18694","chr12:95168483:95169372,chr10:79144486:79144976,chr2:100885844:100886504,chr8:25962419:25962954,chrX:151703028:151703923,chr16:53756185:53757076,chr1:153913044:153913734,chr3:4058637:4059345,chr4:78222095:78223330,chr4:159204323:159204942,chr2:205767558:205768232,chr9:112167821:112168462,chr11:45982614:45984009,chr14:79804272:79804783,chr12:117521168:117522423,chr5:168831146:168832139,chr14:50783262:50784266,chr4:21007506:21008362,ENSG00000166793,chr16:49698236:49698780,chr2:232084954:232085697,chr13:25633019:25633480,chr19:56270836:56271838,chr7:120506091:120506747,chr6:168526210:168527341,chr2:6954431:6954885,chr22:42299736:42300628,chr2:134522214:134523654,chr6:16249829:16250563,chr7:99918907:99920021,chr15:68061535:68062031,chr11:111631695:111632033,chr20:47782110:47782510,chr2:10360896:10361846,chr17:2188727:2189608,chr13:67117064:67117706,chr13:47796404:47797125,chr9:116727161:116728106,chr1:3251619:3252236,chr20:49276119:49276731,chr15:90789065:90789831,chr10:54194621:54195390,chr7:42019892:42020546,ENSG00000118058,ENSG00000285827,chr13:98487945:98488572,chr1:226399510:226399903,chr9:36423122:36423553,chr1:48965199:48966525,ENSG00000081177,chr12:117261870:117262462,chr18:25175912:25177003,chr2:85544064:85544699,chr1:10780261:10780560,chr20:51703397:51704048,chr5:65830787:65831828,chr2:239075649:239076396,chr2:142036686:142038274,chr14:102955652:102956654,chr8:33564907:33565493,chr5:65481434:65482462,chr6:161067586:161069036,chr7:18590330:18591051,ENSG00000100505,chr13:94464762:94465348,chr5:59137647:59138439,ENSG00000121988,chr6:18197103:18197835,chr1:197915316:197915624,chr11:21076052:21077028,chr18:62784671:62785544,chr1:33429457:33429794,chr19:5068195:5069274,chr11:12329877:12331822,chr19:16400868:16401565,chr6:38061374:38061891,chr8:130272707:130273089,chr12:102865786:102866957,chr7:15423404:15423959,chr17:44120983:44121669,chr10:77989175:77989853,chr8:117812311:117813060,chr3:195113658:195114275,chr19:14992518:14993175,ENSG00000115365,chr3:7016719:7017518,chr8:80185292:80186201,chr9:91677915:91678483,chr10:33229303:33230277,chr17:40068612:40069680,chr20:53212021:53212703,ENSG00000169946,chr20:33581488:33582044,chr7:7221719:7222533,chr9:116322877:116323536,chr4:161466163:161466818,chr19:31268944:31269510,ENSG00000214575,ENSG00000260836,ENSG00000162624,chr4:154457356:154458025,chr19:30397209:30398004,ENSG00000170653,chr10:71537145:71537438,chr3:62454629:62455532,ENSG00000113269,ENSG00000158089,chr6:111672612:111673828,chr20:8303494:8304822,chr5:137105444:137106256,chr1:197284060:197284743,chr15:51326965:51327755,chr7:122557122:122557868,chr3:54620948:54621896,chr12:53388097:53388928,chr2:100281427:100282128,ENSG00000109654,ENSG00000288637,ENSG00000135773,chr16:4435412:4436413,chr12:4802840:4803793,chr10:126177324:126178273,chr2:232659200:232659940,chr5:35220838:35221495,chr6:56652720:56653562,chr12:68879753:68880957,chr19:33389585:33390980,chr10:129908345:129908864,chr12:2510855:2511407,chr6:152977761:152978130,chr3:187274507:187275569,chr3:50450157:50451008,ENSG00000164574,chr1:44536232:44537394"
"GO:MF","protein domain specific binding","GO:0019904","0.04161718571066221","1.3807272915356015","718","438","34","18694","chr6:61759515:61760027,chr4:159204323:159204942,chr9:123406482:123408264,chr15:68061535:68062031,chr3:79515039:79515740,chr14:100361953:100363247,chr1:204834269:204835006,ENSG00000141293,chr18:25175912:25177003,chr7:37031633:37032849,ENSG00000100505,chr14:91380223:91381206,chr17:43828071:43828714,chr10:127332844:127333812,chr8:47888511:47888996,ENSG00000169282,chr3:15309373:15310995,chr11:75840266:75841215,chr6:33425558:33426771,ENSG00000115365,chr3:7016719:7017518,chr17:40068612:40069680,chr5:10756627:10757030,chr10:112949773:112950465,chr4:121819151:121819877,chr6:111672612:111673828,chr17:38603056:38603332,chr12:53388097:53388928,chr18:63306930:63308534,chr6:101817816:101818728,chr10:126177324:126178273,chr7:133766138:133766434,chr5:88831652:88832264,chr13:40764375:40765295"
"GO:MF","nucleoside-triphosphatase regulator activity","GO:0060589","0.046440768179343776","1.333100605184736","517","438","27","18694","chr12:95168483:95169372,chr6:69289698:69290668,chr4:159204323:159204942,chr9:123406482:123408264,ENSG00000213654,chr12:106878380:106879480,chr3:12963863:12964442,ENSG00000104728,ENSG00000169313,chr13:98284701:98286533,chr7:37031633:37032849,chr14:91380223:91381206,ENSG00000115839,chr10:127332844:127333812,chr8:130272707:130273089,chr3:15309373:15310995,chr6:33425558:33426771,chr10:33229303:33230277,chr9:127159115:127160516,ENSG00000131374,chr20:8303494:8304822,ENSG00000145715,chr16:4435412:4436413,chr3:56880574:56881446,chr20:20411474:20412183,chr21:31395216:31396418,chr4:105555054:105555836"
"GO:MF","guanyl-nucleotide exchange factor activity","GO:0005085","0.0032414736604317864","2.4892575030370474","204","438","17","18694","chr12:95168483:95169372,chr4:159204323:159204942,chr9:123406482:123408264,chr12:106878380:106879480,chr3:12963863:12964442,ENSG00000104728,ENSG00000169313,chr13:98284701:98286533,chr7:37031633:37032849,chr14:91380223:91381206,ENSG00000115839,chr10:127332844:127333812,chr3:15309373:15310995,chr9:127159115:127160516,chr3:56880574:56881446,chr21:31395216:31396418,chr4:105555054:105555836"
"GO:MF","GTPase regulator activity","GO:0030695","0.011362352836147437","1.944531728664409","476","438","27","18694","chr12:95168483:95169372,chr6:69289698:69290668,chr4:159204323:159204942,chr9:123406482:123408264,ENSG00000213654,chr12:106878380:106879480,chr3:12963863:12964442,ENSG00000104728,ENSG00000169313,chr13:98284701:98286533,chr7:37031633:37032849,chr14:91380223:91381206,ENSG00000115839,chr10:127332844:127333812,chr8:130272707:130273089,chr3:15309373:15310995,chr6:33425558:33426771,chr10:33229303:33230277,chr9:127159115:127160516,ENSG00000131374,chr20:8303494:8304822,ENSG00000145715,chr16:4435412:4436413,chr3:56880574:56881446,chr20:20411474:20412183,chr21:31395216:31396418,chr4:105555054:105555836"
"GO:MF","transmembrane receptor protein phosphatase activity","GO:0019198","0.016425433666934122","1.7844831553042444","17","438","5","18694","chr20:42794910:42795831,chr18:8119215:8119825,chr7:157850929:157851302,chr6:128445751:128446917,chr3:61900169:61900678"
