"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:MF","SH3 domain binding","GO:0017124","6.674030495969065e-7","6.175611813233994","129","945","26","18694","chrX:19720115:19720689,chrX:48680490:48680873,chrX:11478774:11479387,chr5:157557913:157558362,chr4:7779010:7779649,ENSG00000141293,ENSG00000121774,chr14:65560337:65561490,chr3:105715056:105715765,chr6:61841572:61842710,chr10:126208621:126209835,chr11:75942636:75943003,chr1:66652576:66652987,chr1:225543892:225544764,chr6:121443899:121444689,chr7:37061908:37063065,chr8:39004186:39005295,chr9:123497584:123498389,chr6:158042094:158043056,chr6:162223178:162223549,chr3:50873310:50874176,chr9:130756517:130757128,chr10:127292241:127293108,chr7:112101097:112101713,chr9:75110242:75110695,chr2:169285122:169286420"
"GO:MF","gated channel activity","GO:0022836","8.943121411179325e-7","6.04851087325673","344","945","46","18694","chr4:21544348:21544872,ENSG00000182771,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:101777620:101778156,chr6:72894062:72894507,chrX:123272347:123273315,chr21:29874954:29875739,chr5:161696844:161697605,chr7:82244860:82245483,ENSG00000108684,chr12:100953646:100953960,chrX:10215425:10216083,chr2:42443761:42444825,chr8:132167456:132168090,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,chr5:153753456:153754113,chr12:2226313:2227068,chr1:110265181:110265865,chr2:18316421:18316712,chr16:19451174:19451695,chr1:237373723:237374279,chr13:107396110:107396863,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,chr18:10875523:10876463,ENSG00000143473,ENSG00000284299,chr4:92307897:92308228,chr12:110658502:110659476,ENSG00000157445,ENSG00000132911,chr21:38280740:38281280,chr4:82500475:82501515,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377,chr3:43672906:43673439,chr11:120854992:120855588,chr6:33647466:33647916"
"GO:MF","glutamate receptor activity","GO:0008066","0.00001785059200120714","4.748347376269201","27","945","11","18694","ENSG00000182771,chr6:101777620:101778156,chrX:123272347:123273315,chr11:89040824:89041278,chr21:29874954:29875739,chr5:153753456:153754113,chr9:101668391:101668923,chr7:127154913:127155371,chr4:92307897:92308228,chr7:86818781:86819525,chr11:120854992:120855588"
"GO:MF","ion channel activity","GO:0005216","0.000040732836616080384","4.3900553447921125","440","945","50","18694","chr4:21544348:21544872,ENSG00000182771,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:101777620:101778156,chr6:72894062:72894507,chrX:123272347:123273315,chrX:111847807:111848326,chr21:29874954:29875739,chr5:161696844:161697605,chr7:82244860:82245483,ENSG00000108684,chr14:73169821:73170386,chr12:100953646:100953960,chrX:10215425:10216083,chr2:42443761:42444825,chr8:132167456:132168090,chr7:73819605:73820087,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,chr5:153753456:153754113,chr12:2226313:2227068,chr1:110265181:110265865,chr2:18316421:18316712,chr16:19451174:19451695,chr9:74727781:74728966,chr1:237373723:237374279,chr13:107396110:107396863,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,chr18:10875523:10876463,ENSG00000143473,ENSG00000284299,chr4:92307897:92308228,chr12:110658502:110659476,ENSG00000157445,ENSG00000132911,chr21:38280740:38281280,chr4:82500475:82501515,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377,chr3:43672906:43673439,chr11:120854992:120855588,chr6:33647466:33647916"
"GO:MF","calcium ion binding","GO:0005509","0.00014538273573052045","3.8374871630927565","722","945","69","18694","chr4:21544348:21544872,chr5:167422540:167423075,ENSG00000171444,chr1:235997896:235998485,chr2:50661412:50662319,chr1:39437781:39438624,chr5:21783031:21783910,chr9:71796338:71796740,chr10:54378987:54379896,chr5:137190016:137190718,ENSG00000166501,chr4:61275939:61276437,ENSG00000170743,chr11:92569624:92570349,chr11:76911063:76911841,chr9:117268926:117269604,chr14:91897085:91897897,ENSG00000183023,chr3:105715056:105715765,chr19:48084815:48085601,chr22:43723726:43724094,chrX:38468640:38469211,chr8:97950594:97952752,chr5:169252917:169253807,chr2:141952624:141953246,chr3:186226392:186227232,ENSG00000086289,chr14:99918807:99919473,chr4:78601014:78601472,chr15:54152454:54153077,chr5:19739417:19740083,chr20:46267747:46268734,chr2:171814811:171815268,chr10:97083263:97083916,ENSG00000067715,chr8:94156271:94156739,chr13:57641561:57642045,ENSG00000155657,chr4:20608265:20609110,ENSG00000140025,chr11:21537650:21538520,chr1:237373723:237374279,chr18:61413100:61414674,chr5:170494052:170494470,chr6:56646201:56646472,chr2:33214916:33215656,chr15:94336621:94337952,chr4:166886685:166887400,chr1:223611085:223611593,chr2:55875674:55876966,chr2:210503652:210504341,chr2:26587862:26588580,chr1:186098612:186099479,chr6:64586800:64587628,chr7:12357277:12358052,chr3:140327077:140327825,chr4:101066693:101067457,ENSG00000053108,chr4:105998086:105999075,chr12:112714192:112714839,chr5:1497809:1498636,chr4:161882777:161883927,ENSG00000038427,chr12:44584384:44584975,chr12:121254623:121255188,chr6:33647466:33647916,chr2:169285122:169286420,chr1:186942720:186943134,chr6:25667985:25668546"
"GO:MF","cation channel activity","GO:0005261","0.00015983558571095905","3.7963265231611656","343","945","41","18694","chr4:21544348:21544872,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:101777620:101778156,chr6:72894062:72894507,chrX:123272347:123273315,chrX:111847807:111848326,chr21:29874954:29875739,chr7:82244860:82245483,ENSG00000108684,chr14:73169821:73170386,chr2:42443761:42444825,chr8:132167456:132168090,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,chr5:153753456:153754113,chr12:2226313:2227068,chr1:110265181:110265865,chr2:18316421:18316712,chr9:74727781:74728966,chr1:237373723:237374279,chr13:107396110:107396863,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,chr18:10875523:10876463,ENSG00000143473,ENSG00000284299,chr12:110658502:110659476,ENSG00000157445,chr21:38280740:38281280,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377,chr3:43672906:43673439,chr11:120854992:120855588,chr6:33647466:33647916"
"GO:MF","cytoskeletal protein binding","GO:0008092","0.00020266844494401447","3.693213864792398","995","945","87","18694","chr4:3043284:3044047,ENSG00000116783,chr22:29663125:29663923,chr11:17514400:17514812,ENSG00000007047,ENSG00000141298,chr10:60308856:60309702,ENSG00000183230,chr1:39437781:39438624,chrX:48680490:48680873,chr6:39610299:39610849,chr13:59767674:59768541,chrX:50606205:50606847,chr4:7779010:7779649,ENSG00000147202,chr7:95996558:95997109,chrX:111847807:111848326,chr2:79729253:79730321,chr8:50733391:50733761,chr1:66354220:66354721,ENSG00000183023,chr2:43898129:43899199,chr2:73456209:73456616,chr13:109160502:109161257,chr10:117057112:117057719,chr14:102105962:102106741,chr1:156556383:156556932,chr6:144729379:144730084,chr4:95232588:95233429,chr7:134808245:134808983,chrX:32642071:32642639,chr14:99918807:99919473,ENSG00000151491,chr1:66652576:66652987,chr22:42939446:42940694,chr11:22722977:22723790,chr8:130883014:130883852,chr1:225543892:225544764,chr4:168555219:168556129,chr4:5874786:5875621,ENSG00000264324,chr12:2226313:2227068,chr10:114513277:114513808,chr9:85639716:85640065,chr2:26929604:26930327,chr6:121443899:121444689,chr15:86392254:86392693,chr15:43950391:43951047,ENSG00000107949,ENSG00000155657,chr12:110134997:110135414,chr3:108474583:108475226,chr5:112373802:112374653,chr2:170215139:170215346,chr22:40465103:40465782,chr6:56646201:56646472,chr13:29174865:29175812,chr2:45895312:45895792,chr6:162223178:162223549,chr11:121106779:121107339,ENSG00000109819,chr9:130756517:130757128,chr3:47076209:47077216,chr1:48398734:48399508,chr17:51086250:51086590,chr22:25853613:25854477,chr2:121471571:121472873,chr2:1347467:1348544,chr12:49683652:49684419,chr10:18483404:18484110,chr6:143634459:143634863,chr5:58617157:58617858,chr10:77208736:77209284,chr1:10630025:10631033,chr3:42184117:42184905,chr7:74347519:74347875,ENSG00000106078,ENSG00000275700,chr22:17878673:17879662,ENSG00000101605,ENSG00000162946,chr1:16866839:16867609,chr4:119136127:119136960,chr7:98120635:98121179,chr11:31001437:31001911,ENSG00000256500,chr7:5529331:5531231"
"GO:MF","3',5'-cyclic-nucleotide phosphodiesterase activity","GO:0004114","0.00022168223232994452","3.6542691138782275","27","945","10","18694","chr7:32316456:32317199,ENSG00000128655,ENSG00000284741,chr15:85010282:85011010,chr2:231764511:231765287,ENSG00000138735,chr1:66354220:66354721,chr12:20415093:20415576,ENSG00000171408,chr5:59845618:59846034"
"GO:MF","channel activity","GO:0015267","0.00043581828091197357","3.3606945567132596","489","945","51","18694","chr4:21544348:21544872,ENSG00000182771,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:101777620:101778156,chr6:72894062:72894507,chrX:123272347:123273315,chrX:111847807:111848326,chr21:29874954:29875739,chr5:161696844:161697605,chr7:82244860:82245483,ENSG00000108684,chr14:73169821:73170386,chr12:100953646:100953960,chrX:10215425:10216083,chr2:42443761:42444825,chr8:132167456:132168090,chr7:73819605:73820087,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,chr5:153753456:153754113,chr12:2226313:2227068,chr1:110265181:110265865,chr6:121443899:121444689,chr2:18316421:18316712,chr16:19451174:19451695,chr9:74727781:74728966,chr1:237373723:237374279,chr13:107396110:107396863,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,chr18:10875523:10876463,ENSG00000143473,ENSG00000284299,chr4:92307897:92308228,chr12:110658502:110659476,ENSG00000157445,ENSG00000132911,chr21:38280740:38281280,chr4:82500475:82501515,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377,chr3:43672906:43673439,chr11:120854992:120855588,chr6:33647466:33647916"
"GO:MF","passive transmembrane transporter activity","GO:0022803","0.000463352512943708","3.334088477285954","490","945","51","18694","chr4:21544348:21544872,ENSG00000182771,ENSG00000183960,chr16:24348953:24349730,chr19:54002931:54003525,chr6:101777620:101778156,chr6:72894062:72894507,chrX:123272347:123273315,chrX:111847807:111848326,chr21:29874954:29875739,chr5:161696844:161697605,chr7:82244860:82245483,ENSG00000108684,chr14:73169821:73170386,chr12:100953646:100953960,chrX:10215425:10216083,chr2:42443761:42444825,chr8:132167456:132168090,chr7:73819605:73820087,chr3:39021938:39022460,chr2:152042771:152043489,chr8:139702630:139703471,chr5:153753456:153754113,chr12:2226313:2227068,chr1:110265181:110265865,chr6:121443899:121444689,chr2:18316421:18316712,chr16:19451174:19451695,chr9:74727781:74728966,chr1:237373723:237374279,chr13:107396110:107396863,chr5:170494052:170494470,ENSG00000157542,ENSG00000169282,chr9:101668391:101668923,chr18:10875523:10876463,ENSG00000143473,ENSG00000284299,chr4:92307897:92308228,chr12:110658502:110659476,ENSG00000157445,ENSG00000132911,chr21:38280740:38281280,chr4:82500475:82501515,chr10:18483404:18484110,chr10:77208736:77209284,chr13:101263327:101263968,chr3:38725319:38726377,chr3:43672906:43673439,chr11:120854992:120855588,chr6:33647466:33647916"
